Common Name,"IUPAC
name (Serial number in Schedule)",Approved Source for Import (M/s),Indigenous manufacturers (M/s)
,,,"10.   Sundew Life Science Pvt Ltd
11.   Best Crop Science LLP, Gajraula, UP"
Indoxocarb Technical 67% min and 90% min,577,"E.I. DuPont de Nemours & Co. Mobile plant, Agricultural Products Manufacturing Center, Highway, 43-Azis-Alabama 365058 USA. Through supplier –Du Pont International Operations Sarl,
Chemin du Pavillion, 1218 le-Groung Sacromex, Geneva, Swizerland.","1.M/s Jai Shree Rasayan Udyog Ltd ,67% min 9 (4)"
Iprodione Technical 95% min.,481,"Bayer S.A.S, 16 rue Jean- Marie Leclair 69009, Lyon, France",
Iprovalicarb Tech 95% min,653,"Bayer Crop Science AG, Germany., change to M/s Bayer AG, Germany ( By M/s  Bayer CropScience Ltd., 95% w/w min., in 392nd RC).",
Isoprothiolane Technical 96% min.,389,"3.     Nihon Nobyaku Co. Ltd., Tokyo, Japan
4.     Jiangsu Flag Chemical Industry Co. Ltd. Changhfenghe Road, Nanjing Chemical Industrial Park, Luhe district, Nanjing, china-
210047","1.     Atul Ltd., Valsad
2.     Meghmani Industries Ltd, Ahmedabad
3.     Bayer Crop Science Ltd., Mumbai
4.     Best Crop Science Pvt. Ltd., 96% min.,9 (4)
5.     Bharat Rasayan Ltd., New Delhi, 96% min.,9 (4)"
Isoproturon Technical 95% min.,348,"1.     Novertis Crop Protection, AG, Switzerland","4.     Bayer CropScience Ltd., India(TIM)
5.     Agrevo India Ltd., Mumbai"
,,"2.     Ventis Crop Science, GmbH, Frankfurt, Germany.
3.Bayer Crop Science AG, Germany., change to M/s Bayer AG, Germany, ( By M/s  Bayer CropScience Ltd. 95% in 392nd RC)","6.      Atul Ltd., Valsad
7.      Gharda Chemicals Ltd., Mumbai
8.      Montari Industries Ltd., Delhi.
9.      Siris India Ltd., Hyderabad.
10.   Agrico Organics ltd, New Delhi.
11.   Cheminova India Ltd., Bangalore
12.   Bharat Rasayan Ltd., Delhi
13.   Bayer Crop Science Ltd., Mumbai."
Kasugamycin Technical 64% min.,390,"Hokko Chemical Industry Co. Ltd., Tokyo, Japan.
Supplier -  Arysta Life
Science, Corporation, Tokyo",
"1.  Kresoxim methyl Technical 95.0% Min.TI vs FIM-WRT), 94% min. w/w.",,"Anhui Huaxing Chemical Industry Co. Ltd., No. 6, Hongfeng Rodead, Hefei, P. R. China,
P.C. 230088 (by m/sParijat
Industries (India) Pvt. Ltd)","M/s Rallis India Ltd., 94% min. (TIM) u/s 9(3) in 394 th RC"
Kitazin (Iprobenphos) Technical 94% min.,243,"Kumaiai Chemical Industry Co. Ltd., Japan","P.I. Industries Ltd., Gurgaon"
"Lambda cyhalothrin Technical 81% min. and 84% min. 97% min,",405,"1.     Syngenta PLC, Syngenta Agrochemicals, Fernhurst, Hasleme, Surrey, GU 27, England.
2.     M/s Shijiazhuang Richem Co. Ltd., No. 148 East Yuhua Road, Shijiazhuang, 050031, Hebei China (regd. For 97.00% min)
3.     M/s.Jiangsu         Changlong Agrochcmical Co., Ltd., No. 8, Tuanjiche Road, Economic
Dovelopmenl    District    of","1.  Syngenta, Mumbai
2.     Rallis India Ltd., Bangalore
3.     Nagarjuna Agrichem, Hyderabad
4.     Atul Ltd., Valsad
5.     Heranba Industries Limited, Gujarat
6.     Astec Chemicals Pvt Limited, Mumbai
7.     Gujarat Superphosphate Industries Limited, Mumbai
8.     Meghmani Organics Ltd, Ahmedabad
9.     Coromandel International Ltd,
10.   Rotam India Limited, Mumbai (84%)
11.   Bharat Rasayan Ltd, New Delhi
12.   Bhagiradha Chemicals and Industries Ltd, Hyderabad
13.   Gujarat Agro Chem Limited, Mumbai"
,,"Taixing. Jiangsu, P.R. China. Through     Supplier:     M/s Willowood  (Hangzhou)  Co. Ltd., Room No.2003, Golden plaza,  No.  118,  Qeingchun Road,    Xiacheng    District, Hangzhou    City,    Zhejiang province,  China.  valid  upto 09.11.2019       (By-       M/s
Willowood)
4.  Hebei Bestar Commerce and Trade Co. Ltd., 6-3-203 No. 66 Dianda Street Xinhua District Shijiazhuang, China.(with the validity of registration of the source up to 06th Aug 2022 97% min. in
386th RC.)","14.   United Phosphorus Ltd, Mumbai
15.   Sudarshan Chemical Industries Ltd, Pune
16.   Hyderabad Chemicals Product Ltd
17.   Insecticide India Limited, New Delhi
18.   Modern Insecticide Ltd
19.   Hemani Industries Ltd
20.   Tagros Chemicals India Ltd., Chennai (84%)
21.   HPM Chemicals & Fertilizers Ltd., N. Delhi
22.   Best Crop Science LLP, Gajraula,
23.  Agrico Organics Ldt New Delhi 9 (4).
24.   Krishi Rasqayan Export Pvt. Ltd. 84.0% Min. 9 (4)
25.  Crystal Crop Protection Pvt. Ltd.,"
"Lambda- Cyhalothrin 22.8% CS, 9.7% w/w SC*",405,"1.     Syngenta chemicals B.V. Rue de Tyberchamps, 37, B-7180 Seneffe, Belgium
2.     *M/s. Syngenta Chemical
B.V. Belgium, Seneffe, Belgium (M/s Syngenta India Ltd. , Pune)",
Lime Sulphur,70,To be informed.,
"Lindane Technical
99% min.  (Gamma-HCH Banned )",71,,"2.      India Pesticides Ltd., Lucknow
3.      Kanoria Chemicals & Industries Ltd., Renukoot"
Linuron Technical 94% min.,245,To be informed.,
"{Banned vide S.O. 3951(E) dated 8th August, 2018}",,,
"Lufenuron Technical 96%
min.& 98% Min.",538,"1.Syngenta Grimsby Ltd, Pyewipe, Monthey, Switzerland.
2. Shijiazhuang Richem Co. Ltd., No. 148 Yuhua Road, Chang AN Dist. Shijia Zhung, China. Valid upto 03.06.2019 (By M/s Crystal Crop Protection Pvt. Ltd) purity
98.0 % min.",
Magnesium Phosphide Degesch Plates,349,,
Malathion Technical 95% min.,72,"Cheminova Denmark A/s, PO Box 9, DK-7620,
Lemvig, Denmark.","1.     Cyanamid India Ltd., Mumbai
2.     Hindustan Insecticides Ltd., Delhi
3.     Rallis Industrial Chemicals Ltd., Ankleshwar.
4.     Coromandel International Ltd.
5.     Excel Crop Care Ltd., Mumbai
6.     Shivalik Rasayan Ltd."
"Mancozeb Technical 85% min.,",249,"1. Dow Agro Science, USA
2. Dow Agro Science, Italy.
3. Agrimont SPA, Italy.
4. E.L.F. Autochem Agri., B.V. Rotterdam, Holland
5. Montadison SPA, Italy.
6. E.I. DuPont de Nemours & Co. Inc., USA.
7. Sona Chem (PTI) Ltd., South. Africa.
8. Sinoway International (Jiangru)","1.     Indofil Industries Ltd, Andheri(E)
2.     Merchem Ltd., Cochin
3.     United Phosphorus Ltd., Mumai
4.     Sabero Organics Gujarat Ltd.
5.     Hindustan Insecticides Ltd.
6.     Rallis India Ltd.
7.     Punjab Chemicals & Crop Protection Ltd.
8.      Indogulf CropSciences Ld., Delhi, 85% min.9 (4) 9.     ."
,,"Company Ltd. China
9. Rohn & Haas Co., USA",
Mandipropamid tech 93% min.,763,"Syngenta Crop Protection AG, Munchwilen, Monthey, Switzerland",
Mepiquat chloride Technical 50% TK min.,540,,"Gharda Chemicals Ltd., Mumbai"
Mesosulfuron Methyl 3% + Iodosulfuron Methyl Sodium 0.6% WG,"655
656","Bayer     Crop     Science     AG, Germany.,   change   to   M/s Bayer  AG,  Germany  (  By M/s      Bayer   CropScience Ltd.,0.6% WG in 392nd RC.)",
Metaflumizone 22% SC,704,"BASF Sparks, 14284 Highway 41 North, Sparks, Geogia-USA",
Metalaxyl Technical 90% min.,365,"Syngenta Produkte AG, Switzerland","1.     United Phosphorus Limited, Mumbai
2.     Syngenta India Ltd. Pune
3.     Rallis India, Mumbai
4.     Astec Chemicals Pvt. Ltd., Mumbai
5.     GSP Crop Science Private Limited, Ahmedabad
6.     Indofil Industries Ltd, Andheri(E)
7.     Rotam India Ltd., Mumbai
8.     Meghmani Industries Ltd., Ahmedabad
9.     Astee Chemicals Pvt Limited, Mumbai
10.   Rotam India Ltd, Mumbai
11.   Insecticides India Ltd
12.   Crystal Phosphates Ltd, Delhi
13.   Mega Innovative Crops Pvt Ltd, Ankleshwar.
14.   Punjab Chemicals & pharmaceuticals Ltd., Chandigarh.
15.   HPM Chemicals & Fertilizers Ltd., N. Delhi"
Metalaxyl-M Technical 90% min.,620,"M/s. CABB AG
Dungerstrasse 81, PO Box 1964, CH-4133, Prattein, Switzerland","Punjab Chemicals & Crop Protection Ltd. , Mumbai"
Metaldehyde Technical 98% min.,77,"1.     Lonza Ltd. Dept-2, META Basel, Switzerland
2.     B.P. Chemical Ltd.,
Piceadilly, London","Pesticide India, Udaipur"
"1.  Metamifop Technical 96%min.
2.  Metamifop 10%EC",780,"M/s Dongbu Hannong, #891- 10 Daechidong, Gangnam- gu, Seoul 135-523, Korea Supplier: FMC Corporation Agricultural Products Group 1735 Market street Philadelphia, PA 19103,USA (FMC India Pvt. Ltd.
Bangalore )",
Metiram Technical 84% min,257,"BASF SE, Production Crop Protection, carl-Bosch- Strasse 38, 67056 Ludwigshafen, Germany (By M/s BASF India Ltd. )",
Metiram 55% + Pyraclostrobin 5%WG,"257
659","BASF SE, Production Crop Protection, carl-Bosch- Strasse 38, 67056 Ludwigshafen, Germany",
Metofluthrin Tech 93% min,702,"Sumitomo chemicals co. Ltd., Japan
Trough supplier: Sumitomo Chemical Singapore Pte Ltd.,
Singapore",
Metrafenone 500 g/l SC import,797,"M/s.  BASF  Agri  Production S.A.S,    Zone    Industrielle Lyon   Nord   Rue   Jacquard 69727 Genay Cedex, France. (By M/s BASF India Ltd. )",
"1.  Metsulfuron methyl Technical 93% min. 96% min.
2.  Metsulfuron methyl 10% w/w + Carfentrazone Ethyl 40% w/w DF
3.  Metsulfuron Methyl 20% WG",441,"1. Rotam Crop Science Ltd., China
2. DuPont Agriculture Caribe Industries Ltd. DACI Highways Manati Puerto Rico.
3. Du Pont Agriculture Chemicals Ltd., Shanghai, Pudong Shanghai, China.
4. PT DuPont Agricultural Products Indonesia, Beltway Office Park Building A Lt. 5, JI, Ampera Raya 9-10, Jakarta, 12550, Indonesia","1.     Atul Ltd., Valsad
2.     GSP Crop Science Pvt. Ltd., Ahmedabad
3      Siris Crop Science Limited, New Delhi
4      Indofil Industries Ltd, Andheri(E)
5      Meghmani Industries Limited
6      Punjab Chemicals and Crop Protection Pvt Limited
7      Sharda Worldwide Pvt Limited
8      Insecticides India Ltd.
9      Hindustan Pulversing Mills, Delhi
10    Bharat Rasayan Ltd., Delhi
11    Shahib Pesticides, Karnal, 93% min.,9 (4)
12    Crystal Phosphates Ltd, Delhi.
13    M/s Best Crop Science LLP, 93% min.,9 (4) in 393rd RC
14    M/s Godavari Farm Chemical Industries Pvt. Ltd, 93% w/w min. 9(4), in  407th RC."
Methabenzthiazuron Technical 90%,325,"1.     Bayer Crop Science A.G., Germany. (by Bayer CropScience Ltd., India  TI)
2.     Agrimont SPA, Italy.",
Methomyl Technical 98% min.,255,"1.    E.I. Dupont de Numerous & Co.   Inc.,      USA
2.     Jiangyin Rotam Chemicals
Co. Ltd.,      Jiangsu, China.",
"Methoxy Ethyl Mercury Chloride (MEMC)
{Banned vide S.O. 3951(E)
dated 8th August, 2018}",80,-------,"1.     Excel Crop Care Ltd. Ltd., Mumbai
2.     United Phosphorus Ltd., Mumbai"
Methyl bromide Technical 99%m min. & 98% min.,81,"1.     Bromine Compounds Ltd.
P.O. Box No. 180, Beer- Sheva, Israel Or Dead Sea Bromine Co. Ltd., 84101Israel.
2.     Sedagri Deptt., Sebram, France.
3.     Ethylene International, USA.
4.     Great Lakes Chemical Corpn.P.O. Box -2200 West Lafayette IN, USA
5.     EIF Autochem, France
6.     Bromine & Chemicals Ltd., London
7.     Membrom NV 9940, Rieme, Ertvelde, Belgium. (98%Min)
8.     Lianyungang Dead Sea
Bromine Compounds Co. Ltd. China (98%Min)","1.      Tata Chemicals, Mithapur
2.      Intech Pharma Pvt. Ltd., New Delhi
3.      Central Warehousing Corporation, New Delhi"
Methyl Chlorophenoxy Acetic Acid (MCPA),75,,
"Methyl Parathion Technical 92% min. & 80% min.
{Banned vide S.O. 3951(E)
dated 8th August, 2018}",83,"1.     Monsanto Agri. Products Co., USA
2.     Veb Chemie Kominat,
Germany.","1.     Rallis India Bangalore
2.     Sabero Organics Gujarat Ltd.
3.     Sudarshan Chemical Industries Ltd., Pune (80%)"
"Metiram M
70% WG& 98% min Technical*",257,"1.     BASF       Aktiengesellschaft Production  Crop  Protection 67056           Ludwigshafen, Germany
2.     M/s  BASF  SE,  Carl-Bosch-",
,,"Strasse       38,       D-67056, Ludwigshafen, Germany",
Metolachlor Technical 95% min.,407,"Novartis Crop Protection, AG, Switzerland.",
Metamitron Technical 98.00% w/w min.(w/w),,-,"1.  M/s Punjab Chemicals & Crop Protection Ltd., Mumbai, Metamitron Technical 98% min (w/w) (TIM) 9(3), in 387th RC
."
Metoxuron Technical 97% min.,258,"Novartis Crop Protection, AG, Switzerland","Atul Ltd., Valsad"
"Metribuzin Technical 88% min., 95% w/w Min.",350,"1.   Bayer Crop Science LP, 8400, Hawthorn Road, Kansas City, MO 64120, USA (in 232 RC) (By Bayer CropScience Ltd., India TI)
2.   Miles Inc., USA
3.   Bayer Crop Science AG, Germany., change to  M/s Bayer AG, Germany) (By M/s Bayer CropScience Ltd, 95% in 392nd RC.
4.   Changzhou Wujin Henglong Pesticide Co. Ltd., Commercial Development zone, Ximenboyi Town, Changzhou City, Jiangsu,
P.R. China (supplied through its supplier – M/s. Willwood Ltd. 17-F, Seaview Plaza, 283 Shau Kei Wan Road,
Hong Kong)","1.  Rallis India Ltd., Mumbai
2.  Meghmani Industries Ltd.
3.   Siri Crop Science Limited, New Delhi
4.   Punjab Chemicals and Pharmaceutical Ltd, Chandigarh
5.   Ravi Organics Ltd
6.  GSP Crop Science Pvt Ltd, Ahmedabad
7.  Bharat Rasayan Ltd., Delhi
8.  Coromandel International Ltd.
9.  Best Crop Science LLP, Gajraula, UP
10. Atul Ltd., Valsad, 88% min 9 (4)
11. Jai Shree Rasayan Udyog Ltd., 88% min 9 (4)
12.  Hindustan Pulverising Mills, Delhi, 88% min 9 (4)"
,,"5.   M/s Hebei Xingxing chemical Industries Co. Ltd., Songlindian, Zhuozhou, Hebei, China.Through Supplier: M/s Hebei Bestar Commerce and Trade Co. Ltd., No. 6-3-203, No. 66, Dianda Street Xinhua District Shijiazhuang, China.(Valid upto-12/12/2022)(By- M/s Crystal Crop Protection Pvt. Ltd.,Delhi, 95% w/w min. (TI vs TIM) under section
9(3). in 405th RC.)",
Milebemectin 1% EC (Import)(without registering technical),658,"Sankyo Agro Co. Ltd., Tokyo Japan supplied by  Mitsubishi Corpn., Japan",Nagarjuna Agrichem
Monocrotophos Technical 74% min. & 68*% min.,262,"1.     Shen Hong Agril Chemical Co. Ltd., Taiwan.
2.     Shell International Chemical Co. Ltd., USA
3.     Shell International Chemical Co. Ltd., UK.
4.     Shell Netherland Chemie B.V., Netherland.
5.     Taiwan-Tainan Giant Ind. Co. Ltd., Taiwan.
6.     Antiparassited per Agriculture, SPA Vspitale Interments, versato, Italyl.
7.     Agrimont, SPA, Italy.
8.     Sundat (S) Pte. Ltd.,","1.     Cheminova India Ltd., Mumbai
2.     De-Nocil Crop Protection Ltd., Mumbai.
3.     Coromondel International Ltd. Secundrabad.
4.     Hindustan Insecticides Ltd., Delhi.
5.     Vantech Industries Ltd., Hyderabad.
6.     Meghmani Organics Ltd, Ahmedabad
7.     United Phosphorus Ltd., Mumbai
8.     Sabero Organics GujaratLtd.
9.     Hyderabad Chemical Products Pvt. Ltd.
10.   India Pesticides Ltd. (68%)
11.   Gujarat Insecticides Ltd., Ankleshwar (68%)
12.   Bharat Rasayan Ltd., Delhi (68%)
13.   Sudarshan Chemical Industries Ltd., Pune (68%)
14.   Syngenta India Ltd. (68% min TIM)
15.   HPM Chemicals & Fertilizers Ltd., N. Delhi"
,,"Singapore
9.     Sinoway International (Jiangsu) Company Ltd. China",
"Myclobutanil Technical 90% min. 92% min, 95% w/w min.",427,"1. Dow Agro Science, Italy.
2.  M/s Yifan Biotechnology Gram Co. Ltd. No. 136, Zhongxin Road, Wenzhou Industrial Zone, Zhejiang Province China. Through Supplier: M/s Willowood (Hangzhou) Co. Ltd., Room No.2003, Golden Plaza, No.118, Qingchun Road, Xiacheng District, Hangzhou City, Zhejiang Province China. (valid upto- 23/10/2018) (By- M/s Willowood Chemicals Pvt. Ltd., 95% w/w min., (TI vs TIM) u/s 9(3), Kolkata in 393rd RC)","1.  Nagarjuna Agrichem Ltd., Hyderabad
2.     Indofil Industries Ltd., Anddheri(E), Mumbai
3.     Meghmani Industries Ltd., Ahmedabad
4.     M/s Bonageri Crop Science Ltd. 92% min. 9 (4)
5.     Krishi Rasayan Export Pvt. Ltd., New Delhi 92% min. 9 (4)
6.     Astec Life Science Ltd., Mumbai, 92% min. 9 (4)"
"Novaluron Technical 96% min.,",621,"Makhteshim    Chemicals    Works Ltd.,     P.O.Box     60,Beer, Sheva, 84100 - Israel","1.     United Phosphorous Ltd. Vapi (Gujarat)
2.     Best Crop Science LLP, Gajraula, UP"
"Novaluron10% EC, 8.8%SC& 5.25%SC",621,"1.  Makhteshim Chemicals Works Ltd., P.O. Box 60, Beer, Sheva, 84100 – Israel
2.  M/s ADAMA India Pvt Ltd. CIR-1303/2012(326)- Novaluron(T)-08(By-ADAMA India Pvt Ltd, Hyderabad in
386th RC)",
Neem Extract Concentrate Containing Azadiractin,,,"1.  Ms E .I.D Parry  (I) Ltd.
2.  M/s SJS Biotech International, 25% w/w min. 9(4) in 390th"
Technical 25% w/w min.,,,RC.
Orthosulfamuron 50%WG,758,"Isoagro SPA Sentro Uffiei San Siro Fabbricato D-ala 3, Via Caldera-21, 20153, Milano (Italy)",
"Oxadiargyl Technical 96% min.,",542,"Bayer, S.A.S, 16 rue Jean- Marie Leclair 69009, Lyon, France (By Bayer Crop Science Ltd., Mumbai TI)",
Oxadiazon Technical 92% min.,366,"Bayer S.A.S, 16 rue Jean- Marie Leclair 69009, Lyon,
France
(by Bayer India Ltd., Mumbai  TI)",
Oxathiapiprolin Technical 95%w/w min.,835,"Saltigo GambH, 51369 Leverkusen, Germany a designated manufacturer of
E.I. DuPont de Nemours and Company, Wilmington,
Delaware USA (Supplier:DuPont International
Operations Sarl Chemin du Pavillon 2 CH-1218;Le Grand-Saconnex Geneva, Switzerland) (By- E.I. DuPont India Ltd., Gurgaon
in 386th  RC)",
Oxathiapiprolin 10.1%w/w OD,835,"DuPont de Nemours(France)
S.A.S. 82 rule de Wittelsheim BP9 F-68701 CernayCedex France",
,,"Supplier: DuPont International Operations Sarl Chemin du Pavillon 2 CH-1218; P.O. Box 50 Le Grand-Saconnex Geneva, Switzerland  (ByE.I. DuPont India Ltd., Gurgaon)",
Oxycarboxin Technical 97% min.,274,"Uniroyal chemical Co. INC., USA",
"Oxydemeton-methyl Technical
50% min.",78,"Bayer AG, Germany.",
Oxyfluorfen Technical 70% min.,367,"1.    Dow Agro Science, USA
2.    ADAMA Agan Ltd. P.O.B. 262, Ashdod, Israel.","M/s Jiangsu Zhongyi Chemical Co. Ltd, China to M/s Jiangsu Lulilai Co. Ltd, Add No.2, Shugang Road, Xiangshui Eco- Chemical Insustrial park, Jiangsu Province, China."
Oxyfluorfen Technical 97% min.,,"1.     Yifen Biotechnology Group Co. Ltd., No. 136, Zhongxing Road, Wenshou Industrial Zone, Zhejiang, PR China.Through supplier: Willowood(Hangzhou) co. Ltd., Room No. 2003, golden Plaza, No.-118, Quingchun Road, Xiacheng district, Honzhou City, Zhejiang Province, China. valid upto- 14.04.2021. 97% w/w min.  in 404th RC)
2.     Shangyu Nutrichem Co. Ltd., No. 9 Weijiu road, Hangzhou
Gulf Fine Chemical Zone,",
,,"Zhejiang, 312369, China through same supplier name. (validity of the source 19.11.2023) (By M/s Dow
Agrosciences India Pvt. Ltd., Mumbai)
3.     M/s Jiangsu Zhongyi chemical Co. Ltd. Industrial Zone, Shuanggang Town, Xiangshui country, Jiangsu, China, to M/s Jiangsu Lulilai Co., Ltd. Add No. 2, Shugang Road, Xiangshui Eco- Chemical Industries Park, Jiangsu Province, China. Through  supplier as M/s Chongquing Shining Fine Chemical Co., Ltd., 28-3Citie Commerce No. 5 to YangheSan Cum Jiangbei District Chongqing, China.. (valid upto-25/06/2022) (By- M/s Crystal Crop Protection
Pvt. Ltd., in 395th RC.)",
Paclobutrazol Technical 95% min.,505,"1.   Jiangsu Sword Agrochemicals ltd, China Supplier: Chongquing Shining Fine Chemical Co. Ltd, China","1.   Cheminova India Ltd . 95%. 9(3)in 365th RC
2.  Excel Crop Care Ltd .95.00%,  9(3) in 327th RC
3.  M/s GSP Crop Science Pvt. Ltd., 95% min. 9(4) in 397th RC
4.  M/s Best Crop Science LLP., 95% min. 9(4) in 407th RC"
Paclobutrazol 23% SC (FI),505,"1.     Syngenta Agrochemicals, Fernhurst hasleme, Surrey, UK",
,,"2.     PGR International Pty Ltd., 4, Diary Road, Werribee, Vic. 3030, Australia",
"Paraquat dichloride Technical
40% min.,42% min.",275,"1.     Comlets Chemical Industrial Co. Ltd., Taiwan.
2.     Syngenta Limited, Huddersfield, West Yorkshire HD2 1FF, United Kingdom (by Syngenta India, Mumbai)
3.     Sinon Corporation, Regd. Office 1 FL., No. 23, Sec 1, Mei Chuan W. Rd., Taichung, Taiwan, ROC.( Valid upto 25.07.2023)
{Factory address 101, Nanrong Rd., Ta Tu District, Taichung City, 43245, Taiwan, Taiwan (Supplier: Sinon Corporation,
Taiuchung)","1.     Crystal Phosphate Ltd., New Delhi
2.     United Phosphorus Ltd., Mumbai"
Penconazole Technical 95% min.,429,"Syngents Produkte AG, Switzerland",
Pendimethalin Technical 90% min.,368,"BASF Corporation, Hannibal
, Missouri, USA","1.     Shivalik Rasayan Ltd., New Delhi
2.     Siris Crop Science Ltd., New Delhi
3.     Punjab Chemicals & Crop Protection Limited, Chandigarh
4.     Magma Industries Ltd
5.     Heranba Industries Limited
6.     United Phosphorus Limited, Mumbai
7.     Megmani Industries Ltd."
,,,"8.     Bharat Rasayan Ltd., Delhi
9.     Rallis India Limited
10.   GSP Crop Science Pvt. Ltd. Ahmedabad
11.  Coromandal International Ltd. 90.0% Min. 9 (4)
12.   Hindustan Insecticides Ltd. 90.0% Min. 9 (4)
13.   Crop Life Science Ltd., Ankleshwar, 90.0% Min. 9 (4)
14.  M/s Coromandal Agricao Pvt. Ltd., 90.0% Min. 9 (4)
15.  Jai Shree RasayanUdyog Ltd., New Delhi 90.0% Min. 9 (4)
16.  M/s Godavri Farm Chemical Industries Ltd., 90.0% Min. 9
(4) in 395th RC.
17.  M/s Crystal Crop Protection Ltd., 90.0% Min. 9 (4) in 397th
RC."
"Pendimethalin 38.7% CS,",368,"BASF Corporation, Agricultural Products Group, Hannibal Plant, 3150 Highway, JJ, Palmyra, Missouri, USA",1
Pendimethalin  90% w/w min,,,"1.   Rallis India Ltd.
2.  M/s Heranba Industries Ltd.u/s  9(4), in 277th
3.  M/s Himani Industries Ltd., 90.0% Min. 9 (4) in 393rd RC."
Pencycuron Technical 97.5% min,610,"Bayer Crop Science AG, Germany., change to M/s Bayer AG, Germany ( By M/s  Bayer CropScience Ltd.97.5% in 392nd RC.)",
Penflufen Technical 95% min. w/w under TI category,,"M/s. Bayer CropScience AG, Germany, to (M/s Bayer AG, Germany,  Valid upto January, 31, 2024.  (By  M/s Bayer CropScience Pvt.
Ltd., Mumbai 95% min, in
392nd)",
Penoxsulam Technical97.0% min,747,"M/s Dow AgroSciences LLC. Dow   AgroSciences   assets, Midland,   Michigan   48667 (USA)
Supplier:  M/s Dow AgroSciences LLC,  9330  Zionsville Road, Indianapolis,  Indiana  46268, USA  (by  M/s  Dow  Agro Science   India   Pvt.   Ltd.   ,
Mumbai)","Crystal Crop Protection Pvt. Ltd., 98% min. (TIM vs TIT) under section 9(3)."
"1.  Penoxsulam 21.7% SC (FI)
2.  Penoxsulam 2.67% w/w (2.50%w/v) OD,
3.  Penoxsulam 50% w/w MUP
4.  Penoxsulam 1.02%w/w
+ Cyhalofop-butyl 5.1%w/w OD",747,"1. Dow AgroSciences LLC, 9330 Zionsville Road, Indianapolis, IN 46268, USA.
2. PT Dow AgroSciences Indonesia KM, 9.5Ji Sisinganiangaraja KM. Indonesia, Valid upto 12.12.2020 (by M/s Dow AgroSciences  India Pvt.
Ltd., Mumbai).",
Permethrin Technical 92% min.,335,"Mitchell Cotts Chemicals Ltd., UK.","1.     Bayer Vapi Pvt. Ltd., Vapi, Gujarat
2.     Coromandel International Ltd.
3.     RPG Life Sciences Ltd., Mumbai
4.     United Phosphorus Ltd., Mumbai.
5.     Meghmani Organics Ltd., Ahmedabad
6.     Gharda Chemicals Ltd, Mumbai
7.     Hemani Industries Ltd. Ankleshwar
8.     Bharat Rasayan Ltd, New Delhi
9.     Heranba Industries Ltd.
10.   Tagros Chemicals India Ltd., Chennai.
11.   Best Crop Science LLP, Gajraula, UP"
,,,"12.    Crop life Science Ltd, Ankleshwar, 92% min. 9 (4)
13.   M/s Shogun Organics Ltd.,9(4), in 386th RC"
"Phenthoate Technical 90% min., 92% min.",277,"1.     Agrimont SPA, Italy.
2.     Nissan Chemical Industries Ltd., Kowa, Hitotsubashi Building, Chiyode-Ku, Tokyo, Japan (97%).","1.     Coromandel International Ltd.
2.     Sudarshan Chemical Industries Ltd., Pune"
"Phorate Technical 90% min. & 75% min.
{To be phase out 31st December, 2020  and no new certificate of registration shall be issued vide S.O. 3951(E) dated 8th August, 2018}",278,"1.     American Cynamid Co., USA
2.     United Phosphorus Ltd., UK
3.     W.R. grace & Co., USA
4.     Books International, UK.","1.      Cyanamid India Ltd., Mumbai.
2.      PI Industries Ltd., Udaipur.
3.      Rallis India Ltd.
4.     Coromandel International Ltd.
5.     United Phosphorus Ltd., Mumbai"
Phosalone Technical 93% min.,279,"Rohan Poluenc Agrochemie, France.","1.     Ralchem Ltd., Hyderabad.
2.     Cheminova India Ltd. , Bangalore"
"Phosphamidon Technical 92% min.
{To be phase out 31st December, 2020  and no new certificate of registration shall be issued vide S.O. 3951(E) dated 8th August, 2018}",281,"Shen Hong Agril. Chemical Co. Ltd., Taiwan.","1.     Cheminova India Ltd., Mumbai.
2.     Sudarhsan Chemical Industries Ltd., Pune.
3.     Coromandel International Ltd.
4.     Novartis India Ltd., Mumbai.
5.     India Pesticide Ltd, Lucknow
6.     United Phosphorus Ltd., Mumbai
7.     Bharat Rasayan Ltd., Delhi
8.     Rallis India Ltd.
9.     Syngenta India Ltd., Pune"
Picoxystrobin Tech 93%min,796,"Dupont Asturias, SL, Valle De Tamon, - Nubledo, Municipios, carrion/corvera 33469, Tamon Viles- Ausurias, Spain","1.  M/s Coromandal International Ltd., 93% min. 9(3), (TIM vs TIT) in 401st RC"
,,"Through supplier:
Du pont International operations Sarl Chemin du Pavillon 2, CH-1218, Le Grand-Seconnex, Geneva, Switzerland (by E.I Dupont (India Pvt. Ltd. In 347th RC )",
Picoxystrobin 22.52 SC,796,"Dupont de Numorous(France) S.A.S 82, Rue de, Wittelsheim, BP 9, F-68701, Cedex, France Through supplier:
Du pont International operations Sarl Chemin du Pavillon 2, CH-1218, Le Grand-Seconnex, Geneva,
Switzerland",
Pinoxaden tech,712,"1.     Syngenta Grangemouth Works,
Earls Road, Grangemouth, UK
2.     Zeneca ICI, UK.",
,,3,
"Pirimiphos-methyl Technical
90% min.",132,"Syngenta Limited, UK.",
Prallethrin Technical 90% min.,430,"Sumitomo Chemical Co. Ltd.,  15,5, Chome, Kitahama- Higashi- Ku","1.     Sumitomo Chemicals India Pvt. Ltd, Mumbai
2.     Shogun Organics Limited, Mumbai"
,,"Osaka, Japan","3.     Manakshia Ltd, Mumbai
4.    M/s Synergia Science Pvt. Ltd. 90.0%, 9(4) in 343th"
