Common Name,"IUPAC
name (Serial number in Schedule)",Approved Source for Import (M/s),Indigenous manufacturers (M/s)
"Bifenthrin Technical, 92% w/w min., 95% min, 23.4%MUP and 8% SC,",445,"1.     FMC Corporation, 1735, Market Street, Philadelphia, PA 19103, USA
2.     FMC Asia Pacific 1800 Zhongohan xi Lu, Shangai 200235, China
3.     Nihon Nohyaku Co. Ltd., Tokyo, Japan
4.    Jiangsu Changlong Agrochemicals Co. Ltd., China through
Supplier M/s Willowood (Hangzhou) Co' Ltd. Room No. 2003, Golden Plaza, No. 118, Qingchun Road.
Xiacheng District, Hangzhou City' Zhejiang Province, China. Valid upto 14.11.2018 (by M/s Willowood Chemicals Ltd.)
5. FMC Corporation, Agricultural","1.     United Phosphorous Ltd, Vapi
2.     Insecticides India Ltd, Delhi
3.     GSP Crop Science Pvt Ltd, Ahmedabad.
4.     Bharat Rasayan Ltd., Delhi
5.     HPM Chemicals & Fertilizers Ltd.,
6.     Meghmani Indsustries Ltd, Ahmedabad
7.     Best Crop Science LLP, Gajraula, UP
8. Shagun Organics Ltd. Mumbai,92.0 Min. 9(4)
9. Agrico Organic Ltd. 92.0 Min 9 (4)
10. Jai Shree Rasayan Udyog Ltd., New Delhi, 92.0 Min 9 (4)
11. M/s Agrow Allied Ventures Pvt. Ltd., in 393 rd RC, 92.0% Min. 9 (4)
12. M/s Ichiban Crop Science Ltd., 92% Min.,9(4), in 405th RC."
,,"Products
Group, 1735, Market Street, Philadelaphia, PA, USA",
Bispyribac- sodium 10% SC (FI),707,"Kumaiai Chemical Industry co. Ltd., 4-26, Ikenohata 1- chome, Taitoh-Tokyo,Japan",
"Bispyribac- sodium Technical  95% min,  96% min*",707,-,"1.     Gharda Chemicals Ltd. 9(3)
2.     Insecticides India Ltd. 9(3)
3.     Godrej Agrovet Ltd.  9(3)
4.     Excel Crop Care Ltd.  9(3)
5.     M/s Indofil Indusitres Ltd., Mumbai, 95% min.9(3), in 386th RC.
6.     M/s Coromandel International Ltd., 95% min.,9(4) in 386th RC.
7.     M/s Best Crop Science LLP, 95% min., 9(4) in 386th RC.
8.     M/s Punjab Chemicals and Crop Protection Ltd., 95%min..9(4), in 395th RC
9.     M/s Cropnosys India Pvt. Ltd., 95% w/w min., 9(4), in
407th RC"
Bitertanol Technical 95% min.,375,"1.  Mfd. By M/s. Makhteshim Chemical Works Ltd., P.O. Box 60, Beer Sheva-84100,
Israel
for
Bayer Crop Science AG, Germany., change to (M/s Bayer AG, Germany), ( By M/s  Bayer CropScience Ltd.
95% in 392nd RC )",Bayer CropScience Ltd. India (TI)
Boscalid 25.2% + Pyraclostrobin 12.8 % WG,,"BASF Corporation Sparks plant, 14284, highway 41",
,,"North, Sparks Georgia 31647, USA (By M/s BASF
India Ltd., Mumbai)",
Bromadiolone Technical 93.5% min.,358,"Lipha Pharmaceuticals, France.","1.     Rotam India Ltd, Mumbai
2.     Sudarshan Chemical Industry Ltd. Pune
3.     Rallis India Ltd
4.     M/S Fytocare Chemicals Pvt. Ltd.
5..  Ultima Search, Gurgaon, 93.5% min.9 (4)"
Buprofezin Technical 98% min.,446,"1.     Nihan Nohyaku Co. Ltd. Tokyo, Japan.
2.     Nanjing Suyan Kechuang Agrochemical Co. Ltd., Xiangji, Tongshan, Jiangning, Distirct, Nanjing, Jiangsu, China
3.     Jiangsu Sevencontinent Green Chemical Co. Ltd. Add. No. 28, Chengbei Road, Zhangjiagang, Jiangsu- 215600 (China) (Supplier: Shenzhou Chemical (Shenzhen) Co. Ltd, China) valid upto 03.01.2018
4.     Nanjing   Suyan   Kechuang Agrochemicals     co     Ltd, Xiangji,              Tongshan, Jiangning,  Distirct  Nanjing, Jiangsu,  China.  Supplier   - Pioneer  Fortune  Internation Ltd., Hong Kong, China
Change  to  M/s  Jiangsu  Pesticide
Research  Institute  Co.  Ltd.  No.","1.     Coromandel International Ltd., Secunderabad
2.     Hyderabad Chemical Products Ltd.
3.     Hindustan Insecticides Ltd.
4.     HPM Chemicals & Fertilizers Ltd.,
5.     Meghmani Indsustries Ltd, Ahmedabad
6.     Best Crop Science LLP, Gajraula, UP
7. M/s Agrico Organics Ltd., 98% min., 9(4), in 386th RC
8. M/s Gujarat Insecticides, 98% min.,9(4), in 401st RC"
,,"269,  Changfenghe  Road,  Nanjing Chemical  Industry  Park,  Nanjing, Jiangsu  Province,  China.Through Supplier:  Same  as  Manufacturer. (for  grant  of  registration  of  98% w/w  min.  u/s,  (validity  of  the source 20.06.2021.
5.     M/s.       Jiangsu       Anpon Electrochemical     Company Ltd.,   30,   Huagong   Road, Huaian.     Jiangsu,     China- 223002
Through Supplier
M/s. H.K. Heaven-Crop  Int’l Chem Ltd., Flat D, 11/F, The Cairn Hill, Tsuen Wan, N.T. Hong Kong
6.",
